ngcid,yearOfDiscovery,firstname,middlenames,lastname,yearOfBirth,yearOfDeath,telType,telInch
1330,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1331,1799,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1332,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1333,1855,Eduard,,Schönfeld,1828,1891,Refractor,3
1334,1863,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1335,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1336,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1337,1885,Lewis,,Swift,1820,1913,Refractor,16
1338,1884,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1339,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1340,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1341,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1342,1799,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1343,1787,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1344,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1345,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1346,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1347,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1348,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1349,1886,Lewis,,Swift,1820,1913,Refractor,16
1350,1826,James,,Dunlop,1793,1848,Reflector,9
1351,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1352,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1353,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1354,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1355,1864,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1356,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1357,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1358,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1359,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1360,1868,Friedrich,August Theodor,Winnecke,1835,1897,Refractor,3.5
1361,1886,Ormond,,Stone,1847,1933,Refractor,26
1362,1799,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1363,1877,Sherbourne,Wesley,Burnham,1838,1921,Refractor,18.5
1364,1886,Frank,,Muller,1862,1917,Refractor,26
1365,1826,James,,Dunlop,1793,1848,Reflector,9
1366,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1367,1886,Ormond,,Stone,1847,1933,Refractor,26
1368,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1369,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1370,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1371,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1372,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1373,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1374,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1375,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1376,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1377,1799,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1378,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1379,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1380,1826,James,,Dunlop,1793,1848,Reflector,9
1381,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1382,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1383,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1384,1864,Albert,,Marth,1828,1897,Reflector,48
1385,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1386,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1387,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1388,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1389,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1390,1886,Frank,,Muller,1862,1917,Refractor,26
1391,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1392,1887,Lewis,,Swift,1820,1913,Refractor,16
1393,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1394,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1395,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1396,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1397,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1398,1868,Friedrich,August Theodor,Winnecke,1835,1897,Refractor,4.5
1399,1826,James,,Dunlop,1793,1848,Refractor,4.5
1400,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1401,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1402,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1403,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1404,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1405,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1406,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1407,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1408,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1409,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1410,1855,William,,Parsons,1800,1867,Reflector,72
1411,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1412,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1413,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1414,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1415,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1416,1886,Frank,,Muller,1862,1917,Refractor,26
1417,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1418,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1419,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1420,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1421,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1422,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1423,1886,Lewis,,Swift,1820,1913,Refractor,16
1424,1850,William,,Parsons,1800,1867,Reflector,72
1425,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1426,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1427,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1428,1865,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
1429,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1430,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1431,1864,Albert,,Marth,1828,1897,Reflector,48
1432,1885,Paul-Pierre,,Henry,1848,1905,Refractor,13
1433,1826,James,,Dunlop,1793,1848,Reflector,9
1434,1886,Frank,,Muller,1862,1917,Refractor,26
1435,1859,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,4
1436,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1437,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1438,1885,Ormond,,Stone,1847,1933,Refractor,26
1439,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1440,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1441,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1442,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1443,1882,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1444,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1445,1886,Frank,,Muller,1862,1917,Refractor,26
1446,1877,Johann,Louis Emil,Dreyer,1852,1926,Reflector,72
1447,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1448,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1449,1864,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1450,1886,Lewis,,Swift,1820,1913,Refractor,16
1451,1864,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1452,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1453,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1454,1886,Frank,,Muller,1862,1917,Refractor,26
1455,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1456,1886,J.,Gerhard,Lohse,1851,1941,Refractor,15.5
1457,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1458,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1459,1886,Ormond,,Stone,1847,1933,Refractor,26
1460,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1461,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1462,1864,Albert,,Marth,1828,1897,Reflector,48
1463,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1464,1886,Lewis,,Swift,1820,1913,Refractor,16
1465,1886,Lewis,,Swift,1820,1913,Refractor,16
1466,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1467,1886,Frank,,Muller,1862,1917,Refractor,26
1468,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1469,1886,Lewis,,Swift,1820,1913,Refractor,16
1470,1886,Frank,,Muller,1862,1917,Refractor,26
1471,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1472,1886,Ormond,,Stone,1847,1933,Refractor,26
1473,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1474,1864,Albert,,Marth,1828,1897,Reflector,48
1475,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1476,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1477,1886,Ormond,,Stone,1847,1933,Refractor,26
1478,1886,Ormond,,Stone,1847,1933,Refractor,26
1479,1886,Frank,,Muller,1862,1917,Refractor,26
1480,1886,Frank,,Muller,1862,1917,Refractor,26
1481,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1482,1799,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1483,1826,James,,Dunlop,1793,1848,Reflector,9
1484,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1485,1886,Lewis,,Swift,1820,1913,Refractor,16
1486,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1487,1826,James,,Dunlop,1793,1848,Reflector,9
1488,1854,Edward,Joshua,Cooper,1798,1863,Refractor,13.5
1489,1886,Frank,,Muller,1862,1917,Refractor,26
1490,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1491,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1492,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1493,1826,James,,Dunlop,1793,1848,Reflector,9
1494,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1495,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1496,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1497,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1498,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1499,1885,Edward,Emerson,Barnard,1857,1923,Refractor,6
1500,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1501,1787,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1502,1787,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1503,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1504,1885,Ormond,,Stone,1847,1933,Refractor,26
1505,1885,Ormond,,Stone,1847,1933,Refractor,26
1506,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1507,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1508,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1509,1886,Lewis,,Swift,1820,1913,Refractor,16
1510,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1511,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1512,1826,James,,Dunlop,1793,1848,Reflector,9
1513,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1514,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1515,1826,James,,Dunlop,1793,1848,Reflector,9
1516,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1517,1884,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1518,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1519,1878,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1520,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1521,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1522,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1523,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1524,1885,Ormond,,Stone,1847,1933,Refractor,26
1525,1885,Ormond,,Stone,1847,1933,Refractor,26
1526,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1527,1826,James,,Dunlop,1793,1848,Reflector,9
1528,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1529,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1530,1877,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1531,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1532,1826,James,,Dunlop,1793,1848,Reflector,9
1533,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1534,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1535,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1536,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1537,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1538,1885,Ormond,,Stone,1847,1933,Refractor,26
1539,1864,Albert,,Marth,1828,1897,Reflector,48
1540,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1541,1863,Albert,,Marth,1828,1897,Reflector,48
1542,1863,Albert,,Marth,1828,1897,Reflector,48
1543,1826,James,,Dunlop,1793,1848,Reflector,9
1544,1877,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1545,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1546,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1547,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1548,1832,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1549,1826,James,,Dunlop,1793,1848,Reflector,9
1550,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1551,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1552,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1553,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1554,1868,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
1555,1852,John,Russell,Hind,1823,1895,Refractor,7
1556,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1557,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1558,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1559,1826,James,,Dunlop,1793,1848,Reflector,9
1560,1883,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1561,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1562,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1563,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1564,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1565,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1566,1826,James,,Dunlop,1793,1848,Reflector,9
1567,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1568,1886,Lewis,,Swift,1820,1913,Refractor,16
1569,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1570,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1571,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1572,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1573,1863,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1574,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1575,1886,Frank,,Muller,1862,1917,Refractor,26
1576,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1577,1885,Lewis,,Swift,1820,1913,Refractor,16
1578,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1579,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1580,1877,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1581,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1582,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1583,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1584,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1585,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1586,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1587,1783,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1588,1783,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1589,1783,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1590,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1591,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1592,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1593,1863,Albert,,Marth,1828,1897,Reflector,48
1594,1886,Lewis,,Swift,1820,1913,Refractor,16
1595,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1596,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1597,1885,Ormond,,Stone,1847,1933,Refractor,26
1598,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1599,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1600,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1601,1849,William,,Parsons,1800,1867,Reflector,72
1602,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1603,1849,William,,Parsons,1800,1867,Reflector,72
1604,1886,Lewis,,Swift,1820,1913,Refractor,16
1605,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1606,1849,William,,Parsons,1800,1867,Reflector,72
1607,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1608,1876,Lawrence,,Parsons,1840,1908,Reflector,72
1609,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1610,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1611,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1612,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1613,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1614,1885,Lewis,,Swift,1820,1913,Refractor,16
1615,1878,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1616,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1617,1826,James,,Dunlop,1793,1848,Reflector,9
1618,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1619,1886,Lewis,,Swift,1820,1913,Refractor,16
1620,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1621,1886,Lewis,,Swift,1820,1913,Refractor,16
1622,1850,William,,Parsons,1800,1867,Reflector,72
1623,1885,Ormond,,Stone,1847,1933,Refractor,26
1624,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1625,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1626,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1627,1886,Lewis,,Swift,1820,1913,Refractor,16
1628,1886,Lewis,,Swift,1820,1913,Refractor,16
1629,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1630,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1631,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1632,1886,Frank,,Muller,1862,1917,Refractor,26
1633,1798,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1634,1798,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1635,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1636,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1637,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1638,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1639,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1640,1885,Ormond,,Stone,1847,1933,Refractor,26
1641,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1642,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1643,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1644,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1645,1864,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1646,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1647,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1648,1885,Lewis,,Swift,1820,1913,Refractor,16
1649,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1650,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1651,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1652,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1653,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1654,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1655,1886,J.,Gerhard,Lohse,1851,1941,Refractor,15.5
1656,1830,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1657,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1658,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1659,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1660,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1661,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1662,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1663,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1664,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1665,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1666,1886,Lewis,,Swift,1820,1913,Refractor,16
1667,1884,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1668,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1669,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1670,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1671,1886,Lewis,,Swift,1820,1913,Refractor,16
1672,1826,James,,Dunlop,1793,1848,Reflector,9
1673,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1674,1886,J.,Gerhard,Lohse,1851,1941,Refractor,15.5
1675,1886,J.,Gerhard,Lohse,1851,1941,Refractor,15.5
1676,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1677,1886,Lewis,,Swift,1820,1913,Refractor,16
1678,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1679,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1680,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1681,1878,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1682,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1683,1850,William,,Parsons,1800,1867,Reflector,72
1684,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1685,1850,William,,Parsons,1800,1867,Reflector,72
1686,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1687,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1688,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1689,1886,Lewis,,Swift,1820,1913,Refractor,16
1690,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1691,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1692,1885,Ormond,,Stone,1847,1933,Refractor,26
1693,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1694,1880,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
1695,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1696,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1697,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1698,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1699,1860,William,,Parsons,1800,1867,Reflector,72
1700,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1701,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1702,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1703,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1704,1826,James,,Dunlop,1793,1848,Reflector,9
1705,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1706,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1707,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1708,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1709,1854,William,,Parsons,1800,1867,Reflector,72
1710,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
1711,1826,James,,Dunlop,1793,1848,Reflector,9
1712,1826,James,,Dunlop,1793,1848,Reflector,9
1713,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1714,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1715,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1716,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1717,1849,William,,Parsons,1800,1867,Reflector,72
1718,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1719,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1720,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
1721,1885,Edward,Emerson,Barnard,1857,1923,Refractor,6
1722,1826,James,,Dunlop,1793,1848,Reflector,9
1723,1882,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
1724,1864,George,Friedrich Wilhelm,Rümker,1832,1900,Refractor,4
1725,1885,Edward,Emerson,Barnard,1857,1923,Refractor,6
1726,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1727,1826,James,,Dunlop,1793,1848,Reflector,9
1728,1885,Edward,Emerson,Barnard,1857,1923,Refractor,6
1729,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
1730,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,16
1731,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1732,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1733,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
1734,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
